City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,dudinka,69.4061,86.1751,289.01,61,100,2.44,RU,1724190491
247,acarau,-2.887,-40.1195,303.52,54,0,7.5,BR,1724229765
248,waingapu,-9.6522,120.2637,297.25,79,7,2.9,ID,1724191631
249,iskateley,67.6762,53.1292,287.62,63,100,4.63,RU,1724199314
250,hailar,49.2389,120.0229,287.68,65,100,0.99,CN,1724187621
251,reggane,26.7207,0.1752,320.14,8,3,2.97,DZ,1724218453
252,villa alberto andres alvarado aramburo,27.6417,-113.3806,298.09,59,11,1.68,MX,1724245655
253,sandnessjoen,66.0215,12.6317,287.27,94,75,3.6,NO,1724209747
254,nar'yan-mar,67.638,53.0071,288.02,62,100,4.63,RU,1724199361
255,tarawa,36.4768,44.4778,311.91,13,21,2.02,IQ,1724207093
256,pudozh,61.8084,36.536,295.19,43,50,2.37,RU,1724205346
257,krasnovishersk,60.4018,57.0767,288.58,86,98,2.25,RU,1724200766
258,aykhal,65.9516,111.4918,284.54,83,35,3.3,RU,1724185991
259,nabire,-3.3603,135.5024,297.77,94,80,1.89,ID,1724187649
260,northam,51.0506,-4.2113,291.07,76,100,8.72,GB,1724217221
261,mount gambier,-37.8247,140.782,281.59,97,93,1.95,AU,1724188452
262,wanning,18.7961,110.3873,301.14,90,100,3.39,CN,1724192489
263,al ghayzah,13.5591,44.0257,296.49,79,100,2.38,YE,1724208715
264,dakhla,23.6941,-15.9431,297.16,73,54,6.69,EH,1724222518
265,zuunmod,47.7033,106.9561,290.78,82,100,0.84,MN,1724190956
266,kununurra,-15.7731,128.7388,297.1,69,6,0.0,AU,1724189924
267,turaif,31.6726,38.6616,311.29,8,0,5.14,SA,1724208867
268,jinghong,22.0026,100.7707,296.77,100,100,0.71,CN,1724194605
269,itoman,26.106,127.6861,302.98,86,40,4.12,JP,1724187882
270,barra de santo antonio,-9.4038,-35.5118,298.94,74,31,4.35,BR,1724228992
271,tupiza,-21.4438,-65.7208,287.13,10,0,14.8,BO,1724236887
272,rosporden,47.9593,-3.8278,292.91,46,82,4.46,FR,1724217537
273,sulphur springs,33.1385,-95.601,296.74,64,0,3.09,US,1724240995
274,tual,-5.639,132.7429,299.11,89,44,9.62,ID,1724188429
275,broken hill,-31.965,141.4511,286.92,50,100,2.51,AU,1724187856
276,rongelap,11.1629,166.8943,301.3,79,100,4.67,MH,1724265759
277,pingzhuang,27.2428,119.7053,297.18,99,99,0.79,CN,1724189722
278,yuzhno-kurilsk,44.0271,145.8614,289.49,92,17,4.03,RU,1724268501
279,island harbour,49.6,-54.3,287.06,91,100,5.39,CA,1724229453
280,guerrero negro,27.971,-114.0364,295.05,76,2,2.46,MX,1724245790
281,takamaka,-21.3223,55.8001,293.52,79,66,6.91,RE,1724207731
282,parintins,-2.6345,-56.7319,306.67,30,67,2.47,BR,1724233738
283,little cayman,19.6853,-80.0478,304.39,84,20,1.54,KY,1724238149
284,lae,-6.7302,147.0008,298.24,76,94,1.38,PG,1724185064
285,yabelo,4.8926,38.095,290.09,68,100,2.3,ET,1724210599
286,oriental,7.1273,-73.1134,293.55,94,40,2.57,CO,1724237172
287,horta,38.5368,-28.6301,299.4,75,20,3.09,PT,1724224473
288,humaita,-27.5661,-53.972,296.31,61,97,4.44,BR,1724234434
289,mar del plata,-37.9977,-57.5483,281.13,92,75,7.15,AR,1724236020
290,strelka,58.0801,93.0317,290.61,77,100,2.08,RU,1724192646
291,iacu,-12.7672,-40.2106,301.15,40,0,2.56,BR,1724230294
292,itamaraca,-3.8735,-40.3692,305.26,40,0,3.27,BR,1724229875
293,mwatate,-3.5029,38.3795,297.69,45,100,7.59,KE,1724210961
294,darhan,41.912,110.2838,295.04,54,81,3.44,CN,1724190796
295,peniche,39.3566,-9.3813,296.57,79,4,5.88,PT,1724219777
296,hamilton,43.2561,-79.8729,290.23,70,4,4.63,CA,1724236332
297,dunedin,-45.8742,170.5036,280.82,88,0,1.34,NZ,1724268352
298,estes park,40.3772,-105.5232,292.35,48,99,5.81,US,1724242773
